,frame,cycles,real_time,ang_x_accel,ang_y_accel,ang_z_accel,ang_x_vel,ang_y_vel,ang_z_vel,lin_x_accel,lin_y_accel,lin_z_accel,lin_x_vel,lin_y_vel,lin_z_vel,x,y,z,depth,pitch,roll,yaw,target_z,target_x_vel,target_y_vel,target_yawrwate
0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,200000000.0,0.0006947517395019531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.704734802246094,0.0,0.0,0.1175338476896286,0.0,0.0,-9.99921703338623,99.69849395751953,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
2,22,220000000.0,0.5671939849853516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,12.92223072052002,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
3,24,240000000.0,1.1569921970367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.021573066711426,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
4,26,260000000.0,1.746213674545288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.32841682434082,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
5,28,280000000.0,2.3395400047302246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.269733428955078,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
6,30,300000000.0,2.8663032054901123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.134330749511719,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
7,32,320000000.0,3.446004629135132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,12.861749649047852,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
8,34,340000000.0,4.036074876785278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.37053394317627,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
9,36,360000000.0,4.564307689666748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.085638999938965,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
10,38,380000000.0,5.1138787269592285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.256551742553711,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
11,40,400000000.0,5.671793699264526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.150115013122559,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
12,42,420000000.0,6.20880389213562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.071412086486816,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
13,44,440000000.0,6.787628412246704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.286750793457031,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
14,46,460000000.0,7.356412410736084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.363421440124512,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
15,48,480000000.0,7.947087049484253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.61746597290039,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
16,50,500000000.0,8.525169849395752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.43222427368164,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
17,52,520000000.0,9.114246606826782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708813071250916,13.557361602783203,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
18,54,540000000.0,10.822787046432495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7675585746765137,0.0,0.0,0.15306074917316437,0.0,0.0,-3.969508171081543,12.900124549865723,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
19,56,560000000.0,11.062934637069702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01839447021484375,0.0,0.0,-0.010518712922930717,0.0,0.0,-3.9365527629852295,13.206235885620117,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
20,58,580000000.0,11.574878931045532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004288673400878906,0.0,0.0,-0.005090030841529369,0.0,0.0,-3.957228660583496,13.529970169067383,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
21,60,600000000.0,12.140820741653442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000640869140625,0.0,0.0,-0.0006651795119978487,0.0,0.0,-3.9621872901916504,13.398856163024902,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
22,62,620000000.0,12.72040843963623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.961822509765625e-05,0.0,0.0,-8.544520096620545e-05,0.0,0.0,-3.9628078937530518,13.14682388305664,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
23,64,640000000.0,13.275310277938843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,0.0,0.0,-3.947613367927261e-05,0.0,0.0,-3.962864398956299,13.325888633728027,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
24,66,660000000.0,13.868898630142212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.918837319361046e-05,0.0,0.0,-3.9628677368164062,13.25117015838623,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
25,68,680000000.0,14.383088827133179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.918837319361046e-05,0.0,0.0,-3.9628677368164062,12.848193168640137,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
26,70,700000000.0,14.971784114837646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.918837319361046e-05,0.0,0.0,-3.9628677368164062,13.04377555847168,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
27,72,720000000.0,15.560420989990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.918837319361046e-05,0.0,0.0,-3.9628677368164062,13.282363891601562,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
28,74,740000000.0,16.099158763885498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.918837319361046e-05,0.0,0.0,-3.9628677368164062,13.405122756958008,0.0,0.0,1.0471968585448042,0.0,0.0,0.0,0.0
